2021-03-18T16:05:21+09:00
Running ./BM_CMTM
Run on (8 X 2808 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 0.54, 0.69, 0.80
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_STATIC_CMTM_MUL<0>",88644287,7.65081,7.65065,ns,,,,,
"BM_STATIC_CMTM_MUL<1>",6145246,114.215,114.213,ns,,,,,
"BM_STATIC_CMTM_MUL<2>",2797536,285.319,285.32,ns,,,,,
"BM_STATIC_CMTM_MUL<3>",1000000,506.578,506.583,ns,,,,,
"BM_STATIC_CMTM_MUL<4>",966068,701.539,701.542,ns,,,,,
"BM_STATIC_CMTM_MUL<5>",698627,1004.34,1004.37,ns,,,,,
"BM_STATIC_CMTM_MUL<6>",532457,1317.39,1317.39,ns,,,,,
"BM_STATIC_CMTM_MUL<7>",375965,1783.38,1783.4,ns,,,,,
"BM_STATIC_CMTM_MUL<8>",305673,2285.25,2285.26,ns,,,,,
"BM_STATIC_CMTM_MUL<9>",273801,2539.39,2539.37,ns,,,,,
"BM_STATIC_CMTM_MUL<10>",226568,3299.74,3299.73,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/0",24556759,29.2402,29.2404,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/1",4504803,155.314,155.315,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/2",2434900,286.657,286.657,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/3",1457115,492.825,492.827,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/4",990964,687.332,687.335,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/5",471750,1082.63,1082.64,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/6",554591,1289.51,1289.51,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/7",429042,1753.95,1753.95,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/8",311383,2191.74,2191.75,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/9",278261,2525.82,2525.84,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/10",240006,3074.14,3074.16,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<0>",1000000000,0.313637,0.31364,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<1>",2712979,262.471,262.473,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<2>",1000646,717.703,717.706,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<3>",499863,1411.07,1411.1,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<4>",330562,2083.24,2083.25,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<5>",220317,3078.46,3078.47,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<6>",161248,4312.49,4312.51,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<7>",116428,6172.59,6172.62,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<8>",94103,7357.97,7357.99,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<9>",77764,9168.97,9169,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<10>",64108,10540.8,10540.8,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/0",11625146,60.4928,60.4929,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/1",1840091,378.134,378.136,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/2",840784,801.732,801.737,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/3",425086,1521.31,1521.32,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/4",296734,2329.39,2329.39,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/5",212807,3179.01,3178.98,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/6",165501,4596.19,4596.2,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/7",121565,6019.51,6019.49,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/8",95669,7242.84,7242.87,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/9",77057,8757.46,8757.61,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/10",63395,10684.7,10684.7,ns,,,,,
