2021-03-18T16:01:31+09:00
Running ./BM_CMTM
Run on (8 X 2808 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 0.02, 0.12, 0.67
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_STATIC_CMTM_MUL<0>",32099917,23.632,23.6307,ns,,,,,
"BM_STATIC_CMTM_MUL<1>",4288262,147.615,147.614,ns,,,,,
"BM_STATIC_CMTM_MUL<2>",2245135,304.001,303.998,ns,,,,,
"BM_STATIC_CMTM_MUL<3>",1288434,520.2,520.203,ns,,,,,
"BM_STATIC_CMTM_MUL<4>",773092,867.088,867.09,ns,,,,,
"BM_STATIC_CMTM_MUL<5>",621582,1178.24,1178.25,ns,,,,,
"BM_STATIC_CMTM_MUL<6>",436808,1534.91,1534.91,ns,,,,,
"BM_STATIC_CMTM_MUL<7>",375693,2104.91,2104.87,ns,,,,,
"BM_STATIC_CMTM_MUL<8>",242458,2930.81,2930.77,ns,,,,,
"BM_STATIC_CMTM_MUL<9>",246983,2899.25,2899.11,ns,,,,,
"BM_STATIC_CMTM_MUL<10>",206792,3390.07,3390.08,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/0",19958316,35.3047,35.3048,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/1",3968769,173.077,173.078,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/2",1931536,356.58,356.581,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/3",1202458,577.684,577.685,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/4",798460,856.008,856.009,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/5",631914,1157.43,1157.43,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/6",476907,1528.48,1528.48,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/7",373731,1941.16,1941.17,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/8",293542,2360.85,2360.86,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/9",211286,2915.23,2915.24,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/10",205982,3507.47,3507.48,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<0>",18107263,37.288,37.2882,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<1>",1945226,347.98,347.98,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<2>",594069,1013.73,1013.73,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<3>",413936,1704.45,1704.45,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<4>",257475,2852.37,2852.38,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<5>",177993,4076.34,4076.35,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<6>",123464,5447.48,5447.5,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<7>",97419,7030.08,7030.12,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<8>",74153,8989.3,8989.32,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<9>",61583,11400.7,11400.8,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<10>",38692,14492.8,14493.1,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/0",9524276,68.0284,68.0297,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/1",1125239,474.537,474.544,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/2",682662,1087.77,1087.77,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/3",336683,1825.13,1825.13,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/4",249670,3195.07,3195.08,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/5",174051,4433.24,4433.27,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/6",88552,6185.57,6185.59,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/7",94240,7075.68,7075.85,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/8",74610,9226.38,9226.4,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/9",59530,11300.1,11300.2,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/10",51384,13725.9,13725.9,ns,,,,,
