2021-03-18T15:58:20+09:00
Running C:\Users\vsamyjrl\git_lib\coma\build\benchmark\Release\BM_CMTM.exe
Run on (8 X 2808 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_STATIC_CMTM_MUL<0>",8960000,75.1777,73.2422,ns,,,,,
"BM_STATIC_CMTM_MUL<1>",1544828,435.465,434.919,ns,,,,,
"BM_STATIC_CMTM_MUL<2>",746667,910.166,899.832,ns,,,,,
"BM_STATIC_CMTM_MUL<3>",448000,1597.67,1569.48,ns,,,,,
"BM_STATIC_CMTM_MUL<4>",298667,2493.48,2511.16,ns,,,,,
"BM_STATIC_CMTM_MUL<5>",235789,3041.82,3048.28,ns,,,,,
"BM_STATIC_CMTM_MUL<6>",172308,3984.72,3989.95,ns,,,,,
"BM_STATIC_CMTM_MUL<7>",112000,5896.17,5998.88,ns,,,,,
"BM_STATIC_CMTM_MUL<8>",89600,6927.02,6975.45,ns,,,,,
"BM_STATIC_CMTM_MUL<9>",74667,8814.49,8579.76,ns,,,,,
"BM_STATIC_CMTM_MUL<10>",74667,9296.9,9207.55,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/0",7466667,85.2078,83.7054,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/1",1120000,605.92,613.839,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/2",560000,1035.96,1032.37,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/3",407273,1625.04,1611.33,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/4",263529,2339.82,2312.36,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/5",213333,3133.83,3149.42,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/6",165926,3993.91,3955.08,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/7",100000,5250.4,5312.5,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/8",112000,6391.4,6417.41,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/9",89600,7503.87,7498.6,ns,,,,,
"BM_DYNAMIC_CMTM_MUL/10",74667,9083.81,8998.29,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<0>",4977778,149.438,150.67,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<1>",640000,1076.94,1074.22,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<2>",280000,2364.12,2343.75,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<3>",160000,4319.23,4394.53,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<4>",89600,6770.43,6626.67,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<5>",74667,10597.2,10463.1,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<6>",49778,15948.4,15380.8,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<7>",34462,17369.3,17229.1,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<8>",32000,21916.9,21972.7,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<9>",26353,26296.9,26088.1,ns,,,,,
"BM_STATIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT<10>",20364,31602.7,31458.7,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/0",3733333,189.365,192.522,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/1",448000,1483.09,1464.84,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/2",235789,2845.92,2849.48,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/3",144516,4724.82,4649.14,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/4",89600,7127.29,7149.83,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/5",74667,9979.32,10044.6,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/6",44800,13205.6,13253.3,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/7",40727,17068.8,17264.3,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/8",29867,21378,20926.1,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/9",26353,27349,27273.9,ns,,,,,
"BM_DYNAMIC_CMTM_MUL_CONSTRUCT_DECONSTRUCT/10",21333,31463.5,31494.6,ns,,,,,
